address,allocation
0x00000000e8c9360a402ea4b02efd312d3d196e3f,0.17
0x0000001089167600c25258da29d2e2c857ec1689,0.17
0x000000214a258f1bd45e8a20ad6c462bb2406893,0.17
0x00000021c127b06ad50f7a7dea1b65e02487ca21,0.17
0x00000450f9d086c78ddd1cff3ef0bdbc53f9c6ce,0.17
0x000007b5cb0298da77010fdce25c18ab59ce05eb,0.17
0x000007fb36f38853d0d7f59ec7b080f637526897,335.75
0x0000095053b95baa96275567f70f4bacf460490e,0.17
0x00000bbddcc03baa78aa240d001b6eb136639673,0.17
0x00001cc064b25cb8652e209096b8e2e4173f5c42,0.17
0x000025b47899b3fc97383a65510c8e84389b1490,0.17
0x000028fd1ac24f1df75e0ba8809f2e5d71e91dd6,0.17
0x00005461b59b59a483eaadea8e3ed383f79e32f2,0.17
0x00007644e332ee23968d0d0b402c6fc8ef5db8f1,0.17
0x000089568d3e8bc20b149530ace93e996987d41c,0.17
0x000160bd0bcec5e1fef7a77a3cb0477a344b379e,0.17
0x00023fd2d5c0ed883ed154b78b221de294829bee,0.17
0x0002e9bf070e49d8fe0c53e22993824c9f9990d6,0.17
0x000300c60653620ad69f9b8436c202de3c999de4,0.17
0x00047534cee327cb42654175beb95c3e9b9d9908,0.17
0x00049ffe209fbed7a701def8b0d26fd68d728c14,0.17
0x0004af2039990ddbd481eabcccffe9cd9e242cca,0.17
0x000632efd824e78291aee9ed71ed5db79d876c0e,0.17
0x00065a4c24cd46264867e20c1e924a73841522b5,0.17
0x00068bf522572d218e28e00eb9a79446c73148a8,0.17
0x000701c7b7eb1d9fb27d4c6655ba43c9161bf4eb,0.17
0x00099e59f89adec589249fbe65886dd1bfafc7de,0.17
0x0009a34eafa493d1c33bc8fffd06c5b47d5a5cf3,0.17
0x000a4311a2b5a3917a747080a812128d945bf422,0.17
0x000b1c631b53b7520c66e6866e450a9a0f60ee10,0.17
0x000b3f082ba96bf3b346c7037d68e4e24699ac37,0.17
0x000b99b1f0d026c67f12c97d855e70e2590fd7d7,0.17
0x000bb07b937b06fceb579f2209b64646d54b7446,0.17
0x000c19bbcee2e4626e57f03fdb7fb1e93552159f,0.17
0x000dc744600d230b90ce22bae695a916ba9fad68,0.17
0x000edb747444655b1c575b190b0e05240875194e,0.17
0x000f6b4ce1518e5a32e1c1f7aea00159986bfe9b,0.17
0x001137a82ef81b127997d1bdb9238e9d9bcb5dbf,0.17
0x001156be5d86a02008f1834eb33a962caf43bbf3,0.17
0x00120d6c141e45960706662a6306b4bad94c272f,0.17
0x0012f0821b5dc63c92c215c2d22637b54bc67b25,0.17
0x001335a7f625f00d722b277f7a77a7386de9d657,0.17
0x0013488a8213e9767b689b4400da1183d2b2e9e7,0.17
0x0013f1f68c5c1782113324b7fb43e8b43ca93fe1,0.17
0x00142dd1c42a9dc4befde8503cb716ed77662cb8,0.17
0x00155b3882abe7d216c12a77c7db0da62fa66127,0.17
0x00158cab50cf8e2c0366d8180f1777326e344fa4,2.55
0x0015adc2f9666fc96a81539b6f4dfa76099ba80b,0.17
0x0015f91e93996d7e5979bf32391a8be59aadd606,0.17
0x00192ec0ffb059c851fddfc025e3ccc687a68b52,0.17
0x0019aabf82718432a9ba83839071311fb880049a,0.17
0x001a34eba34d6a1516aee290cc692d246abfe876,0.17
0x001a3d6fdf876c865352aae9e1d15d6803d6da4f,0.17
0x001a450fd1d83cacb9b3510a5cdcd2dc1948c441,0.17
0x001aef8094d70668247333c646a8e8ecfd619890,0.17
0x001af7e7fe9282dddae13bc58b8cfd3e4b3b3e74,0.17
0x001b91e948009f84a37945570e70c191d45b677c,0.17
0x001ba608eec66b53a28466faed4d4a8d84022a22,0.17
0x001cb2007cc06d01ef29f5d2f2fad6a8a8134530,0.17
0x001d221f84a1136f323e67699042b061bf235022,0.17
0x00220eb279725fc5dab83dfec2082052b8e7945b,0.17
0x0024b7514f554263367032d5c0df7b09955eed76,0.17
0x0024f7428464f647f0f31be848509351e3614d44,0.17
